,resource,consumer,res.method,con.method,res.class,res.order,res.family,res.genus,con.class,con.order,con.family,con.genus,N.records,linkevidence,source.id
Akyazi_2020,Polyphagotarsonemus_latus,Neoseiulus_californicus,order,genus,Arachnida,Trombidiformes,Tarsonemidae_,Polyphagotarsonemus,Arachnida,Mesostigmata,Phytoseiidae,Neoseiulus,1,expt,"Akyazi,_R.,_Soysal,_M._&_Altunc,_Y.E._(2020)_Survival_time_and_size_of_Neoseiulus_californicus_(Mesostigmata:_Phytoseiidae)_reared_on_different_prey_species_and_prey_life_stages._Journal_of_Plant_Diseases_and_Protection,_127,_335-340."
Akyazi_2020,Tetranychus_urticae,Neoseiulus_californicus,order,genus,Arachnida,Trombidiformes,Tetranychidae,Tetranychus,Arachnida,Mesostigmata,Phytoseiidae,Neoseiulus,1,expt,"Akyazi,_R.,_Soysal,_M._&_Altunc,_Y.E._(2020)_Survival_time_and_size_of_Neoseiulus_californicus_(Mesostigmata:_Phytoseiidae)_reared_on_different_prey_species_and_prey_life_stages._Journal_of_Plant_Diseases_and_Protection,_127,_335-340."
Balog_2008,Lema_melanopus,Aloconota_gregaria,family,genus,Insecta,Coleoptera,Chrysomellidae,Lema,Insecta,Coleoptera,Saphylinidae,Aloconota,1,Experimental,"Balog,_A.,_Markó,_V.,_Szarvas,_P.,_2008._Dominance,_activity_density_and_prey_preferences_of_rove_beetles_(<i>Coleoptera</i>:_<i>Staphylinidae</i>)_in_conventionally_treated_Hungarian_agro-ecosystems._Bulletin_of_Entomological_Research_98,_343-353."
Balog_2008,Lema_melanopus,Philonthus_cognatus,family,genus,Insecta,Coleoptera,Chrysomellidae,Lema,Insecta,Coleoptera,Saphylinidae,Philonthus,1,Experimental,"Balog,_A.,_Markó,_V.,_Szarvas,_P.,_2008._Dominance,_activity_density_and_prey_preferences_of_rove_beetles_(<i>Coleoptera</i>:_<i>Staphylinidae</i>)_in_conventionally_treated_Hungarian_agro-ecosystems._Bulletin_of_Entomological_Research_98,_343-353."
Balog_2008,Lema_melanopus,Staphylinus_caesareus,family,genus,Insecta,Coleoptera,Chrysomellidae,Lema,Insecta,Coleoptera,Saphylinidae,Staphylinus,1,Experimental,"Balog,_A.,_Markó,_V.,_Szarvas,_P.,_2008._Dominance,_activity_density_and_prey_preferences_of_rove_beetles_(<i>Coleoptera</i>:_<i>Staphylinidae</i>)_in_conventionally_treated_Hungarian_agro-ecosystems._Bulletin_of_Entomological_Research_98,_343-353."
Balog_2008,Lema_melanopus,Tachyporus_hypnorum,family,genus,Insecta,Coleoptera,Chrysomellidae,Lema,Insecta,Coleoptera,Saphylinidae,Tachyporus,1,Experimental,"Balog,_A.,_Markó,_V.,_Szarvas,_P.,_2008._Dominance,_activity_density_and_prey_preferences_of_rove_beetles_(<i>Coleoptera</i>:_<i>Staphylinidae</i>)_in_conventionally_treated_Hungarian_agro-ecosystems._Bulletin_of_Entomological_Research_98,_343-353."
Balog_2008,Lema_melanopus,Tachyporus_chrysomelinus,family,genus,Insecta,Coleoptera,Chrysomellidae,Lema,Insecta,Coleoptera,Saphylinidae,Tachyporus,1,Experimental,"Balog,_A.,_Markó,_V.,_Szarvas,_P.,_2008._Dominance,_activity_density_and_prey_preferences_of_rove_beetles_(<i>Coleoptera</i>:_<i>Staphylinidae</i>)_in_conventionally_treated_Hungarian_agro-ecosystems._Bulletin_of_Entomological_Research_98,_343-353."
Balog_2008,Lema_melanopus,Tachyporus_obtusus,family,genus,Insecta,Coleoptera,Chrysomellidae,Lema,Insecta,Coleoptera,Saphylinidae,Tachyporus,1,Experimental,"Balog,_A.,_Markó,_V.,_Szarvas,_P.,_2008._Dominance,_activity_density_and_prey_preferences_of_rove_beetles_(<i>Coleoptera</i>:_<i>Staphylinidae</i>)_in_conventionally_treated_Hungarian_agro-ecosystems._Bulletin_of_Entomological_Research_98,_343-353."
Balog_2008,Apomyza,Aloconota_gregaria,family,genus,Insecta,Diptera,Agromyzidae,Apomyza,Insecta,Coleoptera,Saphylinidae,Aloconota,1,Experimental,"Balog,_A.,_Markó,_V.,_Szarvas,_P.,_2008._Dominance,_activity_density_and_prey_preferences_of_rove_beetles_(<i>Coleoptera</i>:_<i>Staphylinidae</i>)_in_conventionally_treated_Hungarian_agro-ecosystems._Bulletin_of_Entomological_Research_98,_343-353."
Balog_2008,Apomyza,Philonthus_cognatus,order,genus,Insecta,Diptera,Agromyzidae,Apomyza,Insecta,Coleoptera,Saphylinidae,Philonthus,1,Experimental,"Balog,_A.,_Markó,_V.,_Szarvas,_P.,_2008._Dominance,_activity_density_and_prey_preferences_of_rove_beetles_(<i>Coleoptera</i>:_<i>Staphylinidae</i>)_in_conventionally_treated_Hungarian_agro-ecosystems._Bulletin_of_Entomological_Research_98,_343-353."
