resource,consumer
Aphis_fabae,Coccinella_septempunctata
Aphis_fabae,Coccinella_septempunctata_lv_4mm
Aphis_fabae,Coccinella_septempunctata_lv_9mm
Aphis_fabae_juv,Coccinella_septempunctata
Aphis_fabae_juv,Coccinella_septempunctata_lv_4mm
Aphis_fabae_juv,Coccinella_septempunctata_lv_9mm
Acyrthosiphon_pisum_juv,Coccinella_septempunctata
Acyrthosiphon_pisum_juv,Coccinella_septempunctata_lv_4mm
Acyrthosiphon_pisum_juv,Coccinella_septempunctata_lv_9mm
Acyrthosiphon_pisum,Coccinella_septempunctata
Acyrthosiphon_pisum,Coccinella_septempunctata_lv_4mm
Acyrthosiphon_pisum,Coccinella_septempunctata_lv_9mm
Vicia_faba,Acyrthosiphon_pisum
Vicia_faba,Acyrthosiphon_pisum_juv
Vicia_faba,Aphis_fabae
Vicia_faba,Aphis_fabae_juv
Vicia_faba,Sitona_lineatus
